val_accurate,train_loss,val_loss
"tensor(0.4239, device='cuda:0')","tensor(2.7262, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1117, device='cuda:0')"
"tensor(0.5817, device='cuda:0')","tensor(1.9434, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5089, device='cuda:0')"
"tensor(0.6530, device='cuda:0')","tensor(1.5900, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2760, device='cuda:0')"
"tensor(0.7163, device='cuda:0')","tensor(1.3894, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0015, device='cuda:0')"
"tensor(0.7316, device='cuda:0')","tensor(1.2369, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9250, device='cuda:0')"
"tensor(0.7784, device='cuda:0')","tensor(1.1344, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7848, device='cuda:0')"
"tensor(0.7917, device='cuda:0')","tensor(1.0469, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7311, device='cuda:0')"
"tensor(0.7925, device='cuda:0')","tensor(0.9986, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7081, device='cuda:0')"
"tensor(0.8249, device='cuda:0')","tensor(0.9394, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6484, device='cuda:0')"
"tensor(0.8241, device='cuda:0')","tensor(0.8912, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6241, device='cuda:0')"
"tensor(0.8293, device='cuda:0')","tensor(0.8628, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5833, device='cuda:0')"
"tensor(0.8249, device='cuda:0')","tensor(0.8212, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5895, device='cuda:0')"
"tensor(0.8438, device='cuda:0')","tensor(0.7973, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5449, device='cuda:0')"
"tensor(0.8558, device='cuda:0')","tensor(0.7758, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5090, device='cuda:0')"
"tensor(0.8550, device='cuda:0')","tensor(0.7423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5117, device='cuda:0')"
"tensor(0.8530, device='cuda:0')","tensor(0.7210, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4926, device='cuda:0')"
"tensor(0.8462, device='cuda:0')","tensor(0.7110, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4945, device='cuda:0')"
"tensor(0.8377, device='cuda:0')","tensor(0.6955, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5006, device='cuda:0')"
"tensor(0.8522, device='cuda:0')","tensor(0.6684, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4782, device='cuda:0')"
"tensor(0.8714, device='cuda:0')","tensor(0.6567, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4496, device='cuda:0')"
